# REAL DATA (theory grid from analytical fits) — not measured
# Generated by: /scripts/simulate/bbn.ts
# To replace with PArthENoPE-grade grid: see /scripts/fetch/bbn.md
# Real source: Cyburt et al. (2016) Rev. Mod. Phys. 88, 015004
# Schema: omega_bh2 (dimensionless), dH (D/H), yp (Y_p), li7H (⁷Li/H)
# Grid: N_eff = 3.046, log-uniform Ω_b h² in [0.005, 0.05], 80 samples
omega_bh2,dH,yp,li7H
0.00500,2.7690e-4,0.22630,2.0934e-11
0.00515,2.6428e-4,0.22648,2.2255e-11
0.00530,2.5224e-4,0.22666,2.3660e-11
0.00546,2.4075e-4,0.22685,2.5153e-11
0.00562,2.2978e-4,0.22704,2.6741e-11
0.00578,2.1931e-4,0.22724,2.8429e-11
0.00596,2.0932e-4,0.22745,3.0223e-11
0.00613,1.9978e-4,0.22766,3.2131e-11
0.00631,1.9068e-4,0.22788,3.4159e-11
0.00650,1.8199e-4,0.22810,3.6315e-11
0.00669,1.7370e-4,0.22833,3.8607e-11
0.00689,1.6578e-4,0.22857,4.1044e-11
0.00709,1.5823e-4,0.22881,4.3635e-11
0.00730,1.5102e-4,0.22906,4.6389e-11
0.00752,1.4414e-4,0.22932,4.9317e-11
0.00774,1.3757e-4,0.22959,5.2430e-11
0.00797,1.3130e-4,0.22986,5.5740e-11
0.00821,1.2532e-4,0.23015,5.9258e-11
0.00845,1.1961e-4,0.23044,6.2998e-11
0.00870,1.1416e-4,0.23074,6.6975e-11
0.00896,1.0896e-4,0.23105,7.1202e-11
0.00922,1.0399e-4,0.23137,7.5696e-11
0.00949,9.9255e-5,0.23169,8.0474e-11
0.00977,9.4732e-5,0.23203,8.5554e-11
0.01006,9.0416e-5,0.23238,9.0954e-11
0.01036,8.6296e-5,0.23273,9.6695e-11
0.01067,8.2364e-5,0.23310,1.0280e-10
0.01098,7.8611e-5,0.23348,1.0929e-10
0.01131,7.5030e-5,0.23387,1.1619e-10
0.01164,7.1611e-5,0.23427,1.2352e-10
0.01199,6.8348e-5,0.23468,1.3132e-10
0.01234,6.5234e-5,0.23511,1.3960e-10
0.01271,6.2261e-5,0.23555,1.4842e-10
0.01308,5.9425e-5,0.23600,1.5778e-10
0.01347,5.6717e-5,0.23646,1.6774e-10
0.01387,5.4133e-5,0.23694,1.7833e-10
0.01428,5.1666e-5,0.23743,1.8959e-10
0.01470,4.9312e-5,0.23794,2.0155e-10
0.01514,4.7065e-5,0.23846,2.1428e-10
0.01558,4.4921e-5,0.23900,2.2780e-10
0.01604,4.2874e-5,0.23955,2.4218e-10
0.01652,4.0921e-5,0.24012,2.5747e-10
0.01701,3.9056e-5,0.24071,2.7372e-10
0.01751,3.7276e-5,0.24131,2.9099e-10
0.01803,3.5578e-5,0.24193,3.0936e-10
0.01856,3.3957e-5,0.24257,3.2889e-10
0.01911,3.2410e-5,0.24323,3.4965e-10
0.01967,3.0933e-5,0.24391,3.7172e-10
0.02026,2.9524e-5,0.24461,3.9518e-10
0.02086,2.8178e-5,0.24533,4.2013e-10
0.02147,2.6894e-5,0.24607,4.4664e-10
0.02211,2.5669e-5,0.24683,4.7484e-10
0.02276,2.4499e-5,0.24761,5.0481e-10
0.02343,2.3383e-5,0.24842,5.3667e-10
0.02413,2.2318e-5,0.24925,5.7055e-10
0.02484,2.1301e-5,0.25011,6.0656e-10
0.02558,2.0330e-5,0.25099,6.4484e-10
0.02633,1.9404e-5,0.25190,6.8555e-10
0.02711,1.8520e-5,0.25283,7.2882e-10
0.02791,1.7676e-5,0.25380,7.7482e-10
0.02874,1.6871e-5,0.25479,8.2373e-10
0.02959,1.6102e-5,0.25581,8.7572e-10
0.03046,1.5368e-5,0.25686,9.3100e-10
0.03136,1.4668e-5,0.25794,9.8976e-10
0.03229,1.4000e-5,0.25905,1.0522e-9
0.03325,1.3362e-5,0.26020,1.1187e-9
0.03423,1.2753e-5,0.26138,1.1893e-9
0.03524,1.2172e-5,0.26259,1.2643e-9
0.03629,1.1617e-5,0.26384,1.3441e-9
0.03736,1.1088e-5,0.26513,1.4290e-9
0.03846,1.0583e-5,0.26646,1.5192e-9
0.03960,1.0101e-5,0.26782,1.6151e-9
0.04077,9.6404e-6,0.26923,1.7170e-9
0.04198,9.2011e-6,0.27067,1.8254e-9
0.04322,8.7819e-6,0.27216,1.9406e-9
0.04450,8.3817e-6,0.27370,2.0631e-9
0.04581,7.9998e-6,0.27528,2.1933e-9
0.04717,7.6353e-6,0.27690,2.3318e-9
0.04856,7.2874e-6,0.27858,2.4789e-9
0.05000,6.9554e-6,0.28030,2.6354e-9
