# REAL DATA, EHT 2019 M87* image (ESO press release)
# Generated by: /scripts/fetch/eht_m87_to_csv.py
# To regenerate: see /scripts/fetch/eht_m87.md
# Real source: EHT Collaboration et al. (2019) ApJL 875, L1; ESO release eso1907a
# Schema: x_uas, y_uas, intensity (normalized, 0..1). FoV 100.0 μas
# Grid: 200x200 cells, 40000 pixels
x_uas,y_uas,intensity
-50.000,50.000,0.0431
-49.497,50.000,0.0431
-48.995,50.000,0.0392
-48.492,50.000,0.0392
-47.990,50.000,0.0431
-47.487,50.000,0.0431
-46.985,50.000,0.0431
-46.482,50.000,0.0431
-45.980,50.000,0.0392
-45.477,50.000,0.0431
-44.975,50.000,0.0431
-44.472,50.000,0.0431
-43.970,50.000,0.0431
-43.467,50.000,0.0431
-42.965,50.000,0.0431
-42.462,50.000,0.0431
-41.960,50.000,0.0431
-41.457,50.000,0.0431
-40.955,50.000,0.0431
-40.452,50.000,0.0392
-39.950,50.000,0.0392
-39.447,50.000,0.0431
-38.945,50.000,0.0431
-38.442,50.000,0.0431
-37.940,50.000,0.0431
-37.437,50.000,0.0431
-36.935,50.000,0.0431
-36.432,50.000,0.0431
-35.930,50.000,0.0431
-35.427,50.000,0.0431
-34.925,50.000,0.0431
-34.422,50.000,0.0431
-33.920,50.000,0.0431
-33.417,50.000,0.0431
-32.915,50.000,0.0431
-32.412,50.000,0.0392
-31.910,50.000,0.0431
-31.407,50.000,0.0431
-30.905,50.000,0.0431
-30.402,50.000,0.0431
-29.899,50.000,0.0431
-29.397,50.000,0.0431
-28.894,50.000,0.0431
-28.392,50.000,0.0431
-27.889,50.000,0.0431
-27.387,50.000,0.0431
-26.884,50.000,0.0431
-26.382,50.000,0.0431
-25.879,50.000,0.0431
-25.377,50.000,0.0431
-24.874,50.000,0.0431
-24.372,50.000,0.0431
-23.869,50.000,0.0431
-23.367,50.000,0.0431
-22.864,50.000,0.0431
-22.362,50.000,0.0431
-21.859,50.000,0.0431
-21.357,50.000,0.0431
-20.854,50.000,0.0431
-20.352,50.000,0.0431
-19.849,50.000,0.0431
-19.347,50.000,0.0431
-18.844,50.000,0.0431
-18.342,50.000,0.0431
-17.839,50.000,0.0431
-17.337,50.000,0.0431
-16.834,50.000,0.0431
-16.332,50.000,0.0431
-15.829,50.000,0.0431
-15.327,50.000,0.0431
-14.824,50.000,0.0392
-14.322,50.000,0.0431
-13.819,50.000,0.0431
-13.317,50.000,0.0431
-12.814,50.000,0.0431
-12.312,50.000,0.0431
-11.809,50.000,0.0431
-11.307,50.000,0.0431
-10.804,50.000,0.0431
-10.302,50.000,0.0431
-9.799,50.000,0.0431
-9.296,50.000,0.0431
-8.794,50.000,0.0431
-8.291,50.000,0.0392
-7.789,50.000,0.0392
-7.286,50.000,0.0431
-6.784,50.000,0.0431
-6.281,50.000,0.0431
-5.779,50.000,0.0431
-5.276,50.000,0.0392
-4.774,50.000,0.0392
-4.271,50.000,0.0431
-3.769,50.000,0.0431
-3.266,50.000,0.0431
-2.764,50.000,0.0431
-2.261,50.000,0.0431
-1.759,50.000,0.0431
-1.256,50.000,0.0431
-0.754,50.000,0.0431
-0.251,50.000,0.0431
0.251,50.000,0.0431
0.754,50.000,0.0431
1.256,50.000,0.0431
1.759,50.000,0.0392
2.261,50.000,0.0431
2.764,50.000,0.0431
3.266,50.000,0.0392
3.769,50.000,0.0392
4.271,50.000,0.0392
4.774,50.000,0.0392
5.276,50.000,0.0392
5.779,50.000,0.0392
6.281,50.000,0.0431
6.784,50.000,0.0431
7.286,50.000,0.0431
7.789,50.000,0.0431
8.291,50.000,0.0431
8.794,50.000,0.0431
9.296,50.000,0.0431
9.799,50.000,0.0392
10.302,50.000,0.0431
10.804,50.000,0.0431
11.307,50.000,0.0392
11.809,50.000,0.0431
12.312,50.000,0.0392
12.814,50.000,0.0431
13.317,50.000,0.0431
13.819,50.000,0.0431
14.322,50.000,0.0431
14.824,50.000,0.0431
15.327,50.000,0.0431
15.829,50.000,0.0431
16.332,50.000,0.0431
16.834,50.000,0.0431
17.337,50.000,0.0392
17.839,50.000,0.0431
18.342,50.000,0.0431
18.844,50.000,0.0431
19.347,50.000,0.0431
19.849,50.000,0.0431
20.352,50.000,0.0431
20.854,50.000,0.0431
21.357,50.000,0.0431
21.859,50.000,0.0431
22.362,50.000,0.0431
22.864,50.000,0.0431
23.367,50.000,0.0431
23.869,50.000,0.0431
24.372,50.000,0.0431
24.874,50.000,0.0431
25.377,50.000,0.0431
25.879,50.000,0.0431
26.382,50.000,0.0392
26.884,50.000,0.0431
27.387,50.000,0.0431
27.889,50.000,0.0431
28.392,50.000,0.0392
28.894,50.000,0.0431
29.397,50.000,0.0431
29.899,50.000,0.0431
30.402,50.000,0.0392
30.905,50.000,0.0392
31.407,50.000,0.0431
31.910,50.000,0.0431
32.412,50.000,0.0431
32.915,50.000,0.0431
33.417,50.000,0.0431
33.920,50.000,0.0431
34.422,50.000,0.0431
34.925,50.000,0.0431
35.427,50.000,0.0431
35.930,50.000,0.0431
36.432,50.000,0.0431
36.935,50.000,0.0431
37.437,50.000,0.0431
37.940,50.000,0.0431
38.442,50.000,0.0431
38.945,50.000,0.0431
39.447,50.000,0.0431
39.950,50.000,0.0431
40.452,50.000,0.0431
40.955,50.000,0.0431
41.457,50.000,0.0431
41.960,50.000,0.0431
42.462,50.000,0.0431
42.965,50.000,0.0431
43.467,50.000,0.0431
43.970,50.000,0.0431
44.472,50.000,0.0431
44.975,50.000,0.0431
45.477,50.000,0.0431
45.980,50.000,0.0392
46.482,50.000,0.0392
46.985,50.000,0.0431
47.487,50.000,0.0431
47.990,50.000,0.0431
48.492,50.000,0.0431
48.995,50.000,0.0431
49.497,50.000,0.0431
50.000,50.000,0.0431
-50.000,49.497,0.0431
-49.497,49.497,0.0392
-48.995,49.497,0.0431
-48.492,49.497,0.0392
-47.990,49.497,0.0431
-47.487,49.497,0.0431
-46.985,49.497,0.0431
-46.482,49.497,0.0431
-45.980,49.497,0.0431
-45.477,49.497,0.0431
-44.975,49.497,0.0431
-44.472,49.497,0.0431
-43.970,49.497,0.0431
-43.467,49.497,0.0431
-42.965,49.497,0.0431
-42.462,49.497,0.0431
-41.960,49.497,0.0431
-41.457,49.497,0.0431
-40.955,49.497,0.0431
-40.452,49.497,0.0431
-39.950,49.497,0.0431
-39.447,49.497,0.0431
-38.945,49.497,0.0431
-38.442,49.497,0.0431
-37.940,49.497,0.0431
-37.437,49.497,0.0431
-36.935,49.497,0.0431
-36.432,49.497,0.0431
-35.930,49.497,0.0431
-35.427,49.497,0.0431
-34.925,49.497,0.0431
-34.422,49.497,0.0431
-33.920,49.497,0.0431
-33.417,49.497,0.0431
-32.915,49.497,0.0431
-32.412,49.497,0.0431
-31.910,49.497,0.0431
-31.407,49.497,0.0431
-30.905,49.497,0.0431
-30.402,49.497,0.0431
-29.899,49.497,0.0431
-29.397,49.497,0.0431
-28.894,49.497,0.0431
-28.392,49.497,0.0431
-27.889,49.497,0.0431
-27.387,49.497,0.0431
-26.884,49.497,0.0431
-26.382,49.497,0.0431
-25.879,49.497,0.0431
-25.377,49.497,0.0431
-24.874,49.497,0.0431
-24.372,49.497,0.0431
-23.869,49.497,0.0431
-23.367,49.497,0.0431
-22.864,49.497,0.0431
-22.362,49.497,0.0431
-21.859,49.497,0.0431
-21.357,49.497,0.0431
-20.854,49.497,0.0431
-20.352,49.497,0.0431
-19.849,49.497,0.0431
-19.347,49.497,0.0431
-18.844,49.497,0.0431
-18.342,49.497,0.0431
-17.839,49.497,0.0431
-17.337,49.497,0.0392
-16.834,49.497,0.0431
-16.332,49.497,0.0431
-15.829,49.497,0.0431
-15.327,49.497,0.0392
-14.824,49.497,0.0431
-14.322,49.497,0.0431
-13.819,49.497,0.0431
-13.317,49.497,0.0431
-12.814,49.497,0.0431
-12.312,49.497,0.0431
-11.809,49.497,0.0431
-11.307,49.497,0.0431
-10.804,49.497,0.0431
-10.302,49.497,0.0431
-9.799,49.497,0.0392
-9.296,49.497,0.0431
-8.794,49.497,0.0392
-8.291,49.497,0.0431
-7.789,49.497,0.0431
-7.286,49.497,0.0431
-6.784,49.497,0.0431
-6.281,49.497,0.0431
-5.779,49.497,0.0431
-5.276,49.497,0.0431
-4.774,49.497,0.0431
-4.271,49.497,0.0431
-3.769,49.497,0.0431
-3.266,49.497,0.0431
-2.764,49.497,0.0431
-2.261,49.497,0.0431
-1.759,49.497,0.0431
-1.256,49.497,0.0431
-0.754,49.497,0.0431
-0.251,49.497,0.0431
0.251,49.497,0.0431
0.754,49.497,0.0392
1.256,49.497,0.0392
1.759,49.497,0.0431
2.261,49.497,0.0431
2.764,49.497,0.0431
3.266,49.497,0.0431
3.769,49.497,0.0431
4.271,49.497,0.0431
4.774,49.497,0.0431
5.276,49.497,0.0431
5.779,49.497,0.0431
6.281,49.497,0.0431
6.784,49.497,0.0431
7.286,49.497,0.0431
7.789,49.497,0.0431
8.291,49.497,0.0431
8.794,49.497,0.0431
9.296,49.497,0.0431
9.799,49.497,0.0431
10.302,49.497,0.0392
10.804,49.497,0.0431
11.307,49.497,0.0431
11.809,49.497,0.0431
12.312,49.497,0.0431
12.814,49.497,0.0431
13.317,49.497,0.0431
13.819,49.497,0.0392
14.322,49.497,0.0431
14.824,49.497,0.0431
15.327,49.497,0.0431
15.829,49.497,0.0431
16.332,49.497,0.0431
16.834,49.497,0.0431
17.337,49.497,0.0431
17.839,49.497,0.0431
18.342,49.497,0.0431
18.844,49.497,0.0431
19.347,49.497,0.0431
19.849,49.497,0.0431
20.352,49.497,0.0431
20.854,49.497,0.0431
21.357,49.497,0.0431
21.859,49.497,0.0431
22.362,49.497,0.0431
22.864,49.497,0.0431
23.367,49.497,0.0431
23.869,49.497,0.0431
24.372,49.497,0.0431
24.874,49.497,0.0431
25.377,49.497,0.0431
25.879,49.497,0.0431
26.382,49.497,0.0431
26.884,49.497,0.0431
27.387,49.497,0.0431
27.889,49.497,0.0431
28.392,49.497,0.0431
28.894,49.497,0.0431
29.397,49.497,0.0431
29.899,49.497,0.0431
30.402,49.497,0.0431
30.905,49.497,0.0431
31.407,49.497,0.0431
31.910,49.497,0.0431
32.412,49.497,0.0431
32.915,49.497,0.0431
33.417,49.497,0.0431
33.920,49.497,0.0431
34.422,49.497,0.0431
34.925,49.497,0.0431
35.427,49.497,0.0431
35.930,49.497,0.0431
36.432,49.497,0.0431
36.935,49.497,0.0431
37.437,49.497,0.0431
37.940,49.497,0.0431
38.442,49.497,0.0431
38.945,49.497,0.0431
39.447,49.497,0.0431
39.950,49.497,0.0431
40.452,49.497,0.0431
40.955,49.497,0.0431
41.457,49.497,0.0431
41.960,49.497,0.0392
42.462,49.497,0.0431
42.965,49.497,0.0431
43.467,49.497,0.0431
43.970,49.497,0.0431
44.472,49.497,0.0431
44.975,49.497,0.0431
45.477,49.497,0.0431
45.980,49.497,0.0431
46.482,49.497,0.0431
46.985,49.497,0.0392
47.487,49.497,0.0431
47.990,49.497,0.0431
48.492,49.497,0.0431
48.995,49.497,0.0431
49.497,49.497,0.0431
50.000,49.497,0.0431
-50.000,48.995,0.0431
-49.497,48.995,0.0431
-48.995,48.995,0.0392
-48.492,48.995,0.0431
-47.990,48.995,0.0431
-47.487,48.995,0.0431
-46.985,48.995,0.0431
-46.482,48.995,0.0431
-45.980,48.995,0.0431
-45.477,48.995,0.0431
-44.975,48.995,0.0431
-44.472,48.995,0.0431
-43.970,48.995,0.0431
-43.467,48.995,0.0431
-42.965,48.995,0.0392
-42.462,48.995,0.0431
-41.960,48.995,0.0431
-41.457,48.995,0.0431
-40.955,48.995,0.0431
-40.452,48.995,0.0431
-39.950,48.995,0.0431
-39.447,48.995,0.0431
-38.945,48.995,0.0431
-38.442,48.995,0.0431
-37.940,48.995,0.0392
-37.437,48.995,0.0431
-36.935,48.995,0.0431
-36.432,48.995,0.0431
-35.930,48.995,0.0431
-35.427,48.995,0.0431
-34.925,48.995,0.0431
-34.422,48.995,0.0431
-33.920,48.995,0.0431
-33.417,48.995,0.0431
-32.915,48.995,0.0431
-32.412,48.995,0.0431
-31.910,48.995,0.0431
-31.407,48.995,0.0431
-30.905,48.995,0.0431
-30.402,48.995,0.0431
-29.899,48.995,0.0431
-29.397,48.995,0.0431
-28.894,48.995,0.0431
-28.392,48.995,0.0431
-27.889,48.995,0.0431
-27.387,48.995,0.0431
-26.884,48.995,0.0431
-26.382,48.995,0.0431
-25.879,48.995,0.0431
-25.377,48.995,0.0431
-24.874,48.995,0.0431
-24.372,48.995,0.0392
-23.869,48.995,0.0431
-23.367,48.995,0.0431
-22.864,48.995,0.0431
-22.362,48.995,0.0431
-21.859,48.995,0.0431
-21.357,48.995,0.0431
-20.854,48.995,0.0431
-20.352,48.995,0.0431
-19.849,48.995,0.0431
-19.347,48.995,0.0431
-18.844,48.995,0.0431
-18.342,48.995,0.0431
-17.839,48.995,0.0431
-17.337,48.995,0.0431
-16.834,48.995,0.0431
-16.332,48.995,0.0431
-15.829,48.995,0.0392
-15.327,48.995,0.0431
-14.824,48.995,0.0392
-14.322,48.995,0.0431
-13.819,48.995,0.0431
-13.317,48.995,0.0392
-12.814,48.995,0.0431
-12.312,48.995,0.0431
-11.809,48.995,0.0431
-11.307,48.995,0.0431
-10.804,48.995,0.0431
-10.302,48.995,0.0431
-9.799,48.995,0.0431
-9.296,48.995,0.0392
-8.794,48.995,0.0392
-8.291,48.995,0.0431
-7.789,48.995,0.0431
-7.286,48.995,0.0431
-6.784,48.995,0.0431
-6.281,48.995,0.0431
-5.779,48.995,0.0431
-5.276,48.995,0.0431
-4.774,48.995,0.0431
-4.271,48.995,0.0431
-3.769,48.995,0.0431
-3.266,48.995,0.0431
-2.764,48.995,0.0431
-2.261,48.995,0.0431
-1.759,48.995,0.0431
-1.256,48.995,0.0431
-0.754,48.995,0.0431
-0.251,48.995,0.0431
0.251,48.995,0.0431
0.754,48.995,0.0431
1.256,48.995,0.0392
1.759,48.995,0.0431
2.261,48.995,0.0431
2.764,48.995,0.0431
3.266,48.995,0.0431
3.769,48.995,0.0431
4.271,48.995,0.0431
4.774,48.995,0.0431
5.276,48.995,0.0431
5.779,48.995,0.0431
6.281,48.995,0.0431
6.784,48.995,0.0431
7.286,48.995,0.0431
7.789,48.995,0.0431
8.291,48.995,0.0431
8.794,48.995,0.0431
9.296,48.995,0.0431
