# REAL DATA, GW150914 H1 strain (whitened, bandpassed 35-350 Hz)
# Fetched from: gwosc.org (H-H1_LOSC_4_V2-1126259446-32.hdf5)
# To replace or rebuild: see /scripts/fetch/gw150914.md
# Real source: GW150914, Abbott et al. (LIGO 2016) PRL 116, 061102
# Schema: t_s (seconds, merger at 0.42s), strain (whitened H1, rescaled, × 10⁻²¹), strain_model (analytical chirp M_c=30.6 M☉, × 10⁻²¹)
# Pipeline: Welch-PSD whitening; Butterworth bandpass 35-350 Hz; decimate 4096→512 Hz; noise-std matched to 0.15 (231 samples)
t_s,strain,strain_model
0.00000,0.0289,-0.1327
0.00195,0.0370,-0.1429
0.00391,0.0295,-0.1401
0.00586,0.1081,-0.1245
0.00781,-0.1342,-0.0973
0.00977,-0.0606,-0.0611
0.01172,0.0593,-0.0191
0.01367,0.0953,0.0249
0.01562,-0.1421,0.0667
0.01758,-0.1541,0.1025
0.01953,0.1444,0.1288
0.02148,0.0278,0.1431
0.02344,-0.0929,0.1438
0.02539,0.2403,0.1310
0.02734,0.1249,0.1056
0.02930,-0.3287,0.0700
0.03125,0.0019,0.0275
0.03320,0.1411,-0.0178
0.03516,-0.0727,-0.0616
0.03711,0.0233,-0.0996
0.03906,-0.0666,-0.1281
0.04102,-0.0092,-0.1441
0.04297,0.1343,-0.1461
0.04492,-0.0605,-0.1337
0.04688,0.0101,-0.1080
0.04883,-0.1367,-0.0714
0.05078,0.0142,-0.0276
0.05273,-0.0134,0.0192
0.05469,0.1394,0.0643
0.05664,0.1084,0.1031
0.05859,0.1204,0.1316
0.06055,-0.1315,0.1469
0.06250,-0.1082,0.1472
0.06445,-0.0720,0.1325
0.06641,-0.0712,0.1040
0.06836,-0.0574,0.0646
0.07031,-0.0043,0.0184
0.07227,0.0718,-0.0300
0.07422,0.0533,-0.0755
0.07617,0.1801,-0.1133
0.07812,0.2102,-0.1393
0.08008,-0.0910,-0.1507
0.08203,-0.1705,-0.1460
0.08398,-0.0644,-0.1257
0.08594,-0.0522,-0.0919
0.08789,-0.2657,-0.0479
0.08984,0.1265,0.0015
0.09180,0.1020,0.0510
0.09375,0.0858,0.0951
0.09570,0.1838,0.1291
0.09766,0.1119,0.1489
0.09961,-0.3199,0.1524
0.10156,-0.0122,0.1389
0.10352,0.0519,0.1099
0.10547,-0.0441,0.0683
0.10742,0.0031,0.0188
0.10938,-0.0890,-0.0331
0.11133,0.0786,-0.0815
0.11328,-0.0520,-0.1209
0.11523,0.2156,-0.1465
0.11719,-0.0678,-0.1554
0.11914,-0.1048,-0.1463
0.12109,0.2126,-0.1201
0.12305,-0.2131,-0.0796
0.12500,0.0165,-0.0296
0.12695,0.0144,0.0243
0.12891,-0.0277,0.0756
0.13086,0.0239,0.1181
0.13281,-0.0437,0.1467
0.13477,0.1618,0.1577
0.13672,0.0309,0.1497
0.13867,-0.2215,0.1233
0.14062,-0.0759,0.0817
0.14258,0.1851,0.0298
0.14453,0.1309,-0.0262
0.14648,-0.2448,-0.0792
0.14844,0.1514,-0.1227
0.15039,0.0147,-0.1509
0.15234,0.0665,-0.1603
