# REAL DATA, Hubble 1929 Table I + Table II (24 galaxies)
# Source: Hubble, E. (1929). A Relation Between Distance and Radial Velocity
# Source URL: https://doi.org/10.1073/pnas.15.3.168 (public-domain PNAS paper)
# Status: Real published measurements, transcribed from Hubble's original tables
# Schema: name (string), distance_mpc (Mpc, Hubble's original Cepheid scale), velocity_km_s (km/s)
# Note: Hubble's distance scale was later found high by factor ~7 (Cepheid type confusion)
name,distance_mpc,velocity_km_s
SMC,0.032,170
LMC,0.034,290
NGC 6822,0.214,-130
NGC 598,0.263,-70
NGC 221,0.275,-185
NGC 224,0.275,-220
NGC 5457,0.45,200
NGC 4736,0.5,290
NGC 5194,0.5,270
NGC 4449,0.63,200
NGC 4214,0.8,300
NGC 3031,0.9,-30
NGC 3627,0.9,650
NGC 4826,0.9,150
NGC 5236,0.9,500
NGC 1068,1.0,920
NGC 5055,1.1,450
NGC 7331,1.1,500
NGC 4258,1.4,500
NGC 4151,1.7,960
NGC 4382,2.0,500
NGC 4472,2.0,850
NGC 4486,2.0,800
NGC 4649,2.0,1090
