# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.0054,31.651,0.514
0.0055,31.728,0.501
0.0057,31.898,0.484
0.0057,31.912,0.470
0.0059,31.740,0.491
0.0059,32.468,0.487
0.0062,30.908,0.525
0.0062,31.186,0.452
0.0063,32.020,0.538
0.0063,32.075,0.534
0.0063,32.084,0.537
0.0063,32.833,0.563
0.0063,32.400,0.483
0.0066,31.732,0.531
0.0067,31.222,0.421
0.0068,31.973,0.415
0.0069,32.441,0.440
0.0075,32.300,0.397
0.0075,32.331,0.374
0.0080,32.642,0.363
0.0081,32.709,0.368
0.0082,32.446,0.491
0.0082,32.484,0.343
0.0082,33.214,0.463
0.0084,32.521,0.466
0.0084,32.692,0.485
0.0086,32.722,0.383
0.0086,32.335,0.338
0.0086,32.374,0.338
0.0086,32.395,0.331
0.0088,32.862,0.327
0.0091,32.750,0.410
0.0091,32.799,0.369
0.0094,32.335,0.401
0.0096,32.865,0.334
0.0096,32.901,0.310
0.0097,32.803,0.358
0.0097,32.916,0.373
0.0099,33.475,0.373
0.0102,32.779,0.349
0.0102,32.918,0.365
0.0102,32.967,0.342
0.0103,33.225,0.299
0.0103,33.338,0.306
0.0104,33.124,0.317
0.0107,33.108,0.365
0.0110,33.571,0.315
0.0111,33.637,0.295
0.0111,33.734,0.342
0.0112,33.434,0.283
0.0112,33.495,0.325
0.0112,33.835,0.354
0.0115,33.583,0.281
0.0120,33.497,0.302
0.0121,33.878,0.346
0.0122,33.702,0.267
0.0123,33.740,0.254
0.0125,33.829,0.265
0.0126,33.708,0.241
0.0126,33.725,0.250
0.0126,33.518,0.266
0.0126,33.587,0.260
0.0128,33.749,0.417
0.0128,33.503,0.331
0.0128,33.636,0.287
0.0130,33.736,0.240
0.0130,33.761,0.287
0.0130,33.567,0.285
0.0130,33.575,0.293
0.0132,33.925,0.305
0.0132,33.968,0.304
0.0132,33.985,0.299
0.0138,33.768,0.233
0.0138,33.772,0.236
0.0138,33.797,0.278
0.0138,33.765,0.289
0.0139,33.674,0.345
0.0139,33.697,0.234
0.0139,33.665,0.296
0.0139,33.805,0.289
0.0141,33.821,0.251
0.0142,33.844,0.265
0.0144,34.019,0.307
0.0144,34.025,0.352
0.0144,34.178,0.397
0.0144,34.252,0.397
0.0144,34.337,0.371
0.0145,33.908,0.241
0.0145,34.173,0.365
0.0145,33.753,0.216
0.0146,33.883,0.249
0.0146,33.925,0.244
0.0146,33.719,0.393
0.0146,33.755,0.391
0.0147,33.892,0.241
0.0147,33.789,0.397
0.0148,34.011,0.270
0.0149,34.190,0.373
0.0149,33.852,0.278
0.0150,33.926,0.232
0.0150,33.974,0.230
0.0152,33.888,0.295
0.0152,34.179,0.267
0.0152,33.771,0.302
0.0153,34.033,0.344
0.0154,34.343,0.373
0.0154,34.074,0.315
0.0155,34.033,0.226
0.0155,34.273,0.340
0.0155,33.885,0.314
0.0155,33.999,0.286
0.0155,34.211,0.258
0.0155,34.258,0.273
0.0156,33.790,0.291
0.0156,33.807,0.290
0.0156,34.130,0.334
0.0156,34.173,0.264
0.0157,34.332,0.279
0.0158,34.166,0.287
0.0158,33.999,0.220
0.0158,34.070,0.290
0.0158,33.900,0.219
0.0158,33.993,0.239
0.0159,34.392,0.270
0.0159,34.029,0.225
0.0159,34.033,0.273
0.0159,34.132,0.209
0.0159,34.166,0.243
0.0160,34.106,0.282
0.0165,34.000,0.335
0.0165,34.414,0.346
0.0166,34.161,0.218
0.0166,33.973,0.415
0.0166,34.279,0.262
0.0167,34.341,0.198
0.0167,33.898,0.245
0.0168,34.168,0.246
0.0168,33.967,0.284
0.0169,33.841,0.289
0.0169,33.898,0.265
0.0169,34.489,0.310
0.0170,34.341,0.228
0.0170,34.075,0.298
0.0170,34.197,0.214
0.0172,34.022,0.309
0.0172,34.200,0.325
0.0172,34.608,0.220
0.0173,34.144,0.283
0.0173,34.152,0.257
0.0173,34.401,0.222
0.0173,34.510,0.231
0.0173,34.361,0.220
0.0174,34.267,0.262
0.0174,34.310,0.264
0.0174,33.780,0.331
0.0175,34.313,0.198
0.0175,34.323,0.200
0.0175,34.147,0.231
0.0178,34.222,0.320
0.0178,34.246,0.213
0.0178,34.336,0.210
0.0178,34.242,0.223
0.0178,34.294,0.247
0.0179,34.297,0.319
0.0180,34.266,0.234
0.0181,34.608,0.201
0.0183,34.200,0.281
0.0183,34.979,0.218
0.0184,34.439,0.227
0.0186,34.492,0.255
0.0186,34.576,0.296
0.0186,34.572,0.240
0.0186,34.617,0.239
0.0187,34.607,0.277
0.0187,34.487,0.321
0.0187,34.547,0.216
0.0191,34.429,0.281
0.0195,34.775,0.195
0.0195,34.809,0.196
0.0198,34.739,0.434
0.0198,34.757,0.467
0.0198,34.687,0.406
0.0199,34.365,0.296
0.0200,34.685,0.204
0.0201,34.512,0.199
0.0202,34.507,0.234
0.0202,34.702,0.192
0.0202,34.501,0.296
0.0202,34.576,0.190
0.0202,34.599,0.188
0.0202,34.648,0.188
0.0202,34.999,0.188
0.0203,34.575,0.376
0.0203,34.816,0.242
0.0204,34.493,0.191
0.0204,34.566,0.178
0.0204,34.571,0.188
0.0204,34.655,0.215
0.0205,35.126,0.376
0.0205,34.556,0.334
0.0206,34.417,0.217
0.0206,34.565,0.250
0.0208,34.486,0.330
0.0208,34.635,0.255
0.0208,34.674,0.231
0.0209,34.812,0.300
0.0210,34.696,0.216
0.0211,34.669,0.231
0.0212,34.375,0.203
0.0212,34.819,0.196
0.0212,35.118,0.311
0.0212,35.206,0.304
0.0213,34.734,0.177
0.0213,34.742,0.188
0.0213,34.756,0.181
0.0213,34.763,0.340
0.0214,34.347,0.199
0.0215,34.590,0.199
0.0215,34.611,0.393
0.0217,34.771,0.196
0.0218,34.758,0.283
0.0218,34.774,0.254
0.0220,34.859,0.246
0.0220,34.965,0.217
0.0220,34.674,0.248
0.0221,34.748,0.199
0.0221,34.885,0.186
0.0221,35.048,0.289
0.0222,35.014,0.216
0.0223,34.806,0.180
0.0223,34.823,0.258
0.0223,34.925,0.170
0.0223,34.773,0.199
0.0223,34.870,0.204
