# REAL DATA, Planck 2018 TT binned power spectrum
# Fetched from: pla.esac.esa.int (COM_PowerSpect_CMB-TT-binned_R3.01.txt)
# To replace or rebuild: see /scripts/fetch/cmb_powerspectrum.md
# Real source: Planck 2018 results VI, Planck Collab. (2020) A&A 641, A6
# Schema: ell (multipole bin center), Dl (μK²), Dl_lower (Dl-dDl-), Dl_upper (Dl+dDl+), sigma=mean(dDl-,dDl+) (μK²)
# Asymmetric errors symmetrized for sigma; ell range [48, 2499], 83 bins
ell,Dl,Dl_lower,Dl_upper,sigma
47.7,1479.34,1428.57,1530.10,50.77
76.5,2034.97,1980.26,2089.68,54.71
105.9,2955.39,2890.42,3020.37,64.98
135.6,3869.51,3792.60,3946.43,76.91
165.4,4889.47,4802.88,4976.05,86.59
195.3,5464.11,5373.56,5554.66,90.55
225.2,5793.44,5706.30,5880.57,87.13
255.1,5372.88,5295.95,5449.82,76.94
285.0,4627.68,4565.16,4690.20,62.52
315.0,3604.24,3557.08,3651.40,47.16
344.9,2631.20,2597.32,2665.08,33.88
374.9,2033.06,2008.24,2057.88,24.82
404.9,1753.36,1732.65,1774.07,20.71
434.8,1787.58,1766.91,1808.25,20.67
464.8,2162.05,2139.29,2184.80,22.75
494.8,2422.08,2397.11,2447.06,24.97
524.8,2573.48,2547.56,2599.40,25.92
554.8,2546.30,2521.25,2571.35,25.05
584.8,2360.65,2337.92,2383.37,22.72
614.7,2095.44,2075.58,2115.29,19.85
644.7,1884.68,1867.17,1902.18,17.50
674.7,1813.16,1796.73,1829.59,16.43
704.7,1883.19,1866.39,1899.99,16.80
734.7,2097.13,2078.97,2115.30,18.16
764.7,2318.74,2299.00,2338.47,19.74
794.7,2464.58,2443.88,2485.29,20.71
824.7,2521.91,2501.39,2542.43,20.52
854.7,2394.12,2375.08,2413.16,19.04
884.7,2083.34,2066.76,2099.92,16.58
914.7,1740.73,1726.99,1754.47,13.74
944.7,1418.67,1407.53,1429.82,11.14
974.7,1172.95,1163.67,1182.24,9.29
1004.6,1062.40,1054.02,1070.78,8.38
1034.6,1047.86,1039.56,1056.16,8.30
1064.6,1132.35,1123.67,1141.04,8.69
1094.6,1211.02,1201.91,1220.13,9.11
1124.6,1231.87,1222.61,1241.13,9.26
1154.6,1205.78,1196.80,1214.77,8.99
1184.6,1117.93,1109.59,1126.26,8.33
1214.6,968.42,960.88,975.97,7.55
1244.6,864.40,857.75,871.04,6.64
1274.6,761.61,755.62,767.59,5.99
1304.6,732.34,726.65,738.03,5.69
1334.6,737.29,731.57,743.01,5.72
1364.6,774.93,768.98,780.87,5.94
1394.6,806.63,800.45,812.80,6.17
1424.6,809.06,802.80,815.31,6.26
1454.6,777.75,771.64,783.86,6.11
1484.6,728.94,723.20,734.69,5.75
1514.6,648.29,643.05,653.53,5.24
1544.6,551.29,546.56,556.01,4.72
1574.6,476.60,472.30,480.90,4.30
1604.6,419.54,415.50,423.59,4.04
1634.6,395.21,391.24,399.18,3.97
1664.6,391.66,387.62,395.69,4.03
1694.6,392.95,388.77,397.12,4.17
1724.6,397.74,393.42,402.05,4.32
1754.6,383.01,378.60,387.43,4.42
1784.6,375.39,370.93,379.85,4.46
1814.6,340.14,335.68,344.60,4.46
1844.6,307.54,303.08,312.00,4.46
1874.6,273.86,269.37,278.35,4.49
1904.6,249.85,245.25,254.44,4.60
1934.6,244.25,239.47,249.02,4.78
1964.6,231.91,226.88,236.94,5.03
1994.6,234.66,229.23,240.09,5.43
2024.6,231.74,225.88,237.61,5.87
2054.6,219.66,213.46,225.86,6.20
2084.6,214.25,207.72,220.79,6.53
2114.6,196.72,189.84,203.59,6.87
2144.6,176.43,169.19,183.67,7.24
2174.6,152.23,144.58,159.87,7.64
2204.6,138.67,130.56,146.78,8.11
2234.6,121.46,112.81,130.10,8.65
2264.6,116.16,106.90,125.41,9.26
2294.6,117.77,107.83,127.71,9.94
2324.6,116.13,105.44,126.82,10.69
2354.6,109.71,98.21,121.22,11.51
2384.6,120.36,107.97,132.75,12.39
2414.6,90.45,77.11,103.79,13.34
2444.6,103.08,88.70,117.46,14.38
2474.6,73.67,58.16,89.19,15.51
2499.0,61.33,40.39,82.27,20.94
