# REAL DATA, SPARC rotation curves (3 galaxies: dwarf, MW-class, giant)
# Fetched from: cdsarc.cds.unistra.fr/ftp/J/AJ/152/157/table2.dat
# To replace or rebuild: see /scripts/fetch/sparc.md
# Real source: Lelli, McGaugh, Schombert (2016) AJ 152, 157; doi:10.3847/0004-6256/152/6/157
# Schema: name, r_kpc (galactocentric radius), v_kms (V_obs), sigma_kms (e_Vobs), v_baryonic_kms (signed-quadrature V_gas+V_disk+V_bulge at M/L=1)
# Galaxies: DDO 154 (dwarf), NGC 3198 (MW-class), UGC 2885 (giant); from SPARC table 2
name,r_kpc,v_kms,sigma_kms,v_baryonic_kms
NGC 3198,0.32,24.40,35.90,63.28
NGC 3198,0.64,43.30,16.30,73.66
NGC 3198,0.96,45.50,16.10,78.98
NGC 3198,1.28,58.50,15.40,82.70
NGC 3198,1.61,68.80,7.61,84.22
NGC 3198,1.93,76.90,10.30,83.17
NGC 3198,2.24,82.00,8.09,87.04
NGC 3198,2.57,86.90,7.60,88.90
NGC 3198,2.89,97.60,3.03,88.97
NGC 3198,3.21,100.00,5.31,93.80
NGC 3198,3.54,107.00,7.51,101.22
NGC 3198,3.85,113.00,7.32,108.53
NGC 3198,4.17,117.00,5.21,115.52
NGC 3198,4.50,119.00,5.67,120.55
NGC 3198,4.82,127.00,5.39,125.51
NGC 3198,5.15,132.00,4.34,129.54
NGC 3198,5.46,134.00,2.36,133.34
NGC 3198,5.78,137.00,0.89,136.70
NGC 3198,6.10,140.00,2.84,139.73
NGC 3198,6.43,142.00,0.88,142.25
NGC 3198,6.74,144.00,1.23,142.81
NGC 3198,7.06,146.00,1.57,141.53
NGC 3198,8.04,147.00,3.00,136.67
NGC 3198,9.04,148.00,3.00,132.31
NGC 3198,10.04,152.00,2.00,130.27
NGC 3198,11.04,155.00,2.00,129.53
NGC 3198,12.05,156.00,2.00,128.56
NGC 3198,14.05,157.00,2.00,123.05
NGC 3198,16.07,153.00,2.00,114.19
NGC 3198,18.13,153.00,2.00,107.92
NGC 3198,20.05,154.00,2.00,104.30
NGC 3198,22.12,153.00,2.00,100.29
NGC 3198,24.03,150.00,2.00,96.53
NGC 3198,26.10,149.00,2.00,93.51
NGC 3198,28.16,148.00,2.00,91.17
NGC 3198,30.08,146.00,2.00,88.53
NGC 3198,32.14,147.00,2.00,85.76
NGC 3198,34.06,148.00,2.00,83.88
NGC 3198,36.12,148.00,2.00,82.56
NGC 3198,38.19,149.00,2.00,81.36
NGC 3198,40.10,150.00,2.00,80.37
NGC 3198,42.17,150.00,3.00,79.85
NGC 3198,44.08,149.00,3.00,78.02
DDO 154,0.49,13.80,1.60,12.87
DDO 154,0.99,21.60,0.80,16.35
DDO 154,1.48,28.90,0.70,16.91
DDO 154,1.97,34.30,0.50,17.62
DDO 154,2.47,38.20,0.40,17.94
DDO 154,2.96,42.00,0.20,18.61
DDO 154,3.46,44.60,0.20,19.49
DDO 154,3.95,46.30,0.20,19.52
DDO 154,4.44,47.40,0.30,18.94
DDO 154,4.94,48.20,0.60,18.28
DDO 154,5.43,47.40,0.70,17.55
DDO 154,5.92,45.50,1.30,16.85
UGC 2885,1.70,305.00,10.00,281.41
UGC 2885,3.41,257.00,10.00,281.48
UGC 2885,6.82,256.00,10.00,282.12
UGC 2885,13.67,271.00,10.00,274.46
UGC 2885,19.49,282.00,10.00,261.95
UGC 2885,23.36,287.00,10.00,258.58
UGC 2885,27.24,283.00,10.00,252.18
UGC 2885,31.22,280.00,10.00,242.48
UGC 2885,35.10,280.00,10.00,233.71
UGC 2885,38.97,281.00,10.00,227.55
UGC 2885,42.85,282.00,10.00,221.10
UGC 2885,46.73,287.00,10.00,210.88
UGC 2885,50.71,292.00,10.00,207.74
UGC 2885,54.58,298.00,10.00,206.55
UGC 2885,58.46,298.00,10.00,202.73
UGC 2885,62.34,298.00,10.00,196.36
UGC 2885,66.21,298.00,10.00,191.12
UGC 2885,70.19,298.00,10.00,188.09
UGC 2885,74.07,298.00,10.00,183.50
